用户名,发帖时间,帖子内容,客户端
是你吗？狗蛋儿206,2025-08-01 17:15,"                昨天来贴吧看，主流还是同情肖同学，谴责杨同学的行为，呼吁武大有所作为。<br>怎么今天来看，90%的帖子是帮杨同学洗白的呢？帮武大狡辩的呢？<br>这边女权主义太厉害了。就一个字，服。<br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=669d8da80110b912bfc1f6f6f3fcfcb5/c606b899a9014c08c58ae2b64c7b02087bf4f417.jpg?tbpicau=2025-12-07-05_256f2daf5f779895b1507f24e4d67f69"" size=""175169"" changedsize=""true"" width=""560"" height=""1238"" size=""175169"">",android
一个神秘的路人,2025-08-01 17:19,                纯纯xxn过来装着洗，遇到那种骂就完事了，我已经骂好几个了,android
？？！！。。。。,2025-08-01 17:41,                串子,android
冬日-_-,2025-08-02 11:47,                水军发力了,android
czthg2,2025-08-02 13:30,                看来我们的敌人异常强大,android
爱喝莲藕排骨汤,2025-08-02 15:06,                反动派发力了,android
ISA_Icarus,2025-08-02 15:20,"                <a href=""http://jump.bdimg.com/safecheck/index?url=rN3wPs8te/q5OliqKZYDxPDqAWItH18D/FF0q+Kb9SFcjsfMdOQ5bL/aFc/NC4kYBQcVEdVSRPWTHr5EtNaWsGfP/kNQ44SrcZg8c2k9RIoNLVOwB0/fhUzxAQSeQ/fNQ4/i/dTrPu2K+TXCsAczsQq7K2DpN+cSd7AzlymcRlzyfZqkusJ8IDcnYN0rpj6zTclcFkAykHaJs70/7a84Jbb+Ffy0d505fxo64l1DpQeVtOciaNSldsS8W5HklQMIvcQErctRMD/1BQTRhIN+FW/D+CaoEPf5kjkKTZm/qPgirzV5P6Oj21/SCBiOeINojmbqw4pDBIBlTRf77zfKj62cJilE4jviHD/xJdEwU8FXA0ogbxAuAgo9lWxc3jMNPTSMHcASWTstBwj5W7zDVqIEpHZ+erPs4qKnX3s0L9ZmDuxp1NWk2W4bgGLzooN3dj2oeHoEzTI=""  target=""_blank"" content-data=""a:6:{s:6:&quot;source&quot;;s:6:&quot;贴吧&quot;;s:5:&quot;title&quot;;s:45:&quot;此篇法律原理分析已提交至教育部&quot;;s:7:&quot;pic_url&quot;;s:51:&quot;https://tieba-ares.cdn.bcebos.com/pic_link52@3x.png&quot;;s:5:&quot;price&quot;;s:0:&quot;&quot;;s:4:&quot;sort&quot;;s:0:&quot;&quot;;s:8:&quot;url_type&quot;;s:1:&quot;1&quot;;}"" rel=""noopener noreferrer nofollow""  class=""j-no-opener-url"" >此篇法律原理分析已提交至教育部</a>",android
肉丸子头,2025-08-02 15:31,                今天看到个武大接收ngo赞助的，然后帮忙输送这种人才 然后也有人扒出武大里面一堆打拳论文,apple
希灵✧,2025-08-02 16:19,                被央视点名批评的学校不多,android
"<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-5.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>汉高祖刘邦<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-5.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",2025-08-02 17:22,                这学校的女性研究会发力了,android
"tangcu<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/4-13.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",2025-08-02 17:53,                好主意，直接骂,apple
吹笛崩城,2025-08-02 18:58,                柔性暴力最危险，别被㜅骗丢心眼,android
李先生9876,2025-08-02 19:30,                1、法院已经判了，说破天去也不是xsr，她们这些洗白毫无意义<br>2、不要被她们转移视线，瞄准她的论文问题打就行了，这事证据确凿，还能打出真实伤害，吊销学位,android
pengli0614,2025-08-02 19:49,                我反正要看看这论文怎么洗白,apple
"许墨<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-10.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/><img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-10.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",2025-08-02 20:19,                抓一个领头的，她们就老实了,apple
灰勒土豆,2025-08-02 21:59,                不是串子就是xxn，骂就完了,android
贴吧用户_JGtUJCZ,2025-08-02 22:47,                后面有组织有人的，你以为他们是单纯的为那个女的便捷的吗,android
识食梗系食阿霞,2025-08-02 22:58,"                女工发力了<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png"" >",android
贴吧用户_QReAUat,2025-08-02 23:04,                必须旗帜鲜明的打倒一切反对杨学姐的言论，杨学姐的论文是武汉大学优秀硕士学位论文，是武汉大学得高水平论文的优秀代表！凡是杨学姐在社交平台上发表的言论，我们都坚决维护，凡是杨学姐再武汉大学优秀硕士学位论文中的结论，我们都必须支持！,android
高级中专生,2025-08-02 23:09,                这注定是持久战,android
流风洇酒,2025-08-02 23:24,                好几个帖子被吧务删了,android
贴吧用户_74ybAtV,2025-08-02 23:54,                纯纯xxn过来装着洗，遇到那种骂就完事了，我已经骂好几个了,android
皆可失,2025-08-03 00:19,                不能看官媒下场督促了 就以为完了 这事才刚刚开始,android
"RING<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/3-27.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/><img src=""//tb1.bdstatic.com/tb/cms/nickemoji/3-16.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",2025-08-03 00:46,                都懒得骂，都是带着目的来的，当笑话看看,android
火焰鸟,2025-08-03 01:02,                30号开始 这类帖子就突然多起来了 很难说不是有预谋的,android
-安于乱-,2025-08-03 01:06,"                谴责的都是肖同学家里有钱和他开车违章<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon10.png"" >",android
"刘韬徐涛总掏<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-33.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",2025-08-03 02:22,                那是因为武大本来就是母犬打拳最严重的地方之一，你以为这么差的名声是空穴来风啊,apple
贴吧用户_0MVVS7Z,2025-08-03 03:09,                t1公民主义，站在群众头上拉屎主义,android
日志已更新,2025-08-03 03:51,                昨天开始这种节奏就多出来了，有组织的,android
追迹KANON,2025-08-03 04:56,"                这次是真的有钱拿啊<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png"" ><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=c3020c14af24b899de3c79305e061d59/9d95d0a20cf431ad20d5652d0d36acaf2edd9845.jpg?tbpicau=2025-12-07-05_8a051f7462e3ab8eccd411e192ed2249"" size=""270244"" changedsize=""true"" width=""560"" height=""1147"" size=""270244"">",apple
