用户名,发帖时间,帖子内容,客户端
未知用户,未知时间,昨天来贴吧看，主流还是同情肖同学，谴责杨同学的行为，呼吁武大有所作为。 怎么今天来看，90%的帖子是帮杨同学洗白的呢？帮武大狡辩的呢？ 这边女权主义太厉害了。就一个字，服。,网页版
未知用户,未知时间,纯纯xxn过来装着洗，遇到那种骂就完事了，我已经骂好几个了,网页版
未知用户,未知时间,串子,网页版
未知用户,未知时间,水军发力了,网页版
未知用户,未知时间,看来我们的敌人异常强大,网页版
未知用户,未知时间,反动派发力了,网页版
未知用户,未知时间,此篇法律原理分析已提交至教育部,网页版
未知用户,未知时间,今天看到个武大接收ngo赞助的，然后帮忙输送这种人才 然后也有人扒出武大里面一堆打拳论文,网页版
未知用户,未知时间,被央视点名批评的学校不多,网页版
未知用户,未知时间,这学校的女性研究会发力了,网页版
未知用户,未知时间,好主意，直接骂,网页版
未知用户,未知时间,柔性暴力最危险，别被㜅骗丢心眼,网页版
未知用户,未知时间,1、法院已经判了，说破天去也不是xsr，她们这些洗白毫无意义 2、不要被她们转移视线，瞄准她的论文问题打就行了，这事证据确凿，还能打出真实伤害，吊销学位,网页版
未知用户,未知时间,我反正要看看这论文怎么洗白,网页版
未知用户,未知时间,抓一个领头的，她们就老实了,网页版
未知用户,未知时间,不是串子就是xxn，骂就完了,网页版
未知用户,未知时间,后面有组织有人的，你以为他们是单纯的为那个女的便捷的吗,网页版
未知用户,未知时间,女工发力了,网页版
未知用户,未知时间,必须旗帜鲜明的打倒一切反对杨学姐的言论，杨学姐的论文是武汉大学优秀硕士学位论文，是武汉大学得高水平论文的优秀代表！凡是杨学姐在社交平台上发表的言论，我们都坚决维护，凡是杨学姐再武汉大学优秀硕士学位论文中的结论，我们都必须支持！,网页版
未知用户,未知时间,这注定是持久战,网页版
未知用户,未知时间,好几个帖子被吧务删了,网页版
未知用户,未知时间,纯纯xxn过来装着洗，遇到那种骂就完事了，我已经骂好几个了,网页版
未知用户,未知时间,不能看官媒下场督促了 就以为完了 这事才刚刚开始,网页版
未知用户,未知时间,都懒得骂，都是带着目的来的，当笑话看看,网页版
未知用户,未知时间,30号开始 这类帖子就突然多起来了 很难说不是有预谋的,网页版
未知用户,未知时间,谴责的都是肖同学家里有钱和他开车违章,网页版
未知用户,未知时间,那是因为武大本来就是母犬打拳最严重的地方之一，你以为这么差的名声是空穴来风啊,网页版
未知用户,未知时间,t1公民主义，站在群众头上拉屎主义,网页版
未知用户,未知时间,昨天开始这种节奏就多出来了，有组织的,网页版
未知用户,未知时间,这次是真的有钱拿啊,网页版
