时间,内容,转发数,评论数,点赞数
Fri Sep 19 20:29:27 +0800 2025,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B9%B3%E5%AE%89%E6%A0%A1%E5%9B%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#平安校园#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%BD%91%E7%BB%9C%E5%AE%89%E5%85%A8%E7%99%BE%E6%A0%A1%E8%A1%8C%23&extparam=%23%E7%BD%91%E7%BB%9C%E5%AE%89%E5%85%A8%E7%99%BE%E6%A0%A1%E8%A1%8C%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#网络安全百校行#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%AE%88%E6%8A%A4%E9%9D%92%E6%98%A5%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#守护青春#</span></a> 江汉大学联动",1,1,4
Mon Sep 15 16:36:35 +0800 2025,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B9%96%E5%8C%97%E9%AB%98%E6%A0%A1%E8%BE%9F%E8%B0%A3%E5%B7%B4%E5%A3%AB%E5%8F%91%E8%BD%A6%23&extparam=%23%E6%B9%96%E5%8C%97%E9%AB%98%E6%A0%A1%E8%BE%9F%E8%B0%A3%E5%B7%B4%E5%A3%AB%E5%8F%91%E8%BD%A6%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#湖北高校辟谣巴士发车#</span></a> 学习起来！",0,1,4
Fri Jun 13 14:21:50 +0800 2025,"<a  href=""https://m.weibo.cn/p/index?extparam=%E6%B1%9F%E6%B1%89%E5%A4%A7%E5%AD%A6&containerid=1008082d3761e4779b7290c7657f945b5b147f&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">江汉大学</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%8F%92%E7%94%BB%E8%89%BA%E6%9C%AF%E4%BD%9C%E5%93%81%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#插画艺术作品#</span></a>",0,3,4
Thu May 29 11:26:23 +0800 2025,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%8D%81%E6%89%80%E9%AB%98%E6%A0%A1%E8%81%94%E5%90%88%E7%A5%9D%E7%A6%8F%E9%AB%98%E8%80%83%E7%94%9F%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%8D%81%E6%89%80%E9%AB%98%E6%A0%A1%E8%81%94%E5%90%88%E7%A5%9D%E7%A6%8F%E9%AB%98%E8%80%83%E7%94%9F%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#武汉十所高校联合祝福高考生#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%AB%98%E8%80%83%E5%8A%A0%E6%B2%B9%23&extparam=%23%E9%AB%98%E8%80%83%E5%8A%A0%E6%B2%B9%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#高考加油#</span></a>",0,4,15
Wed May 14 16:18:04 +0800 2025,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%232025%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%9C%A8%E6%B9%96%E5%8C%97%E5%BC%80%E5%B9%95%23&extparam=%232025%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%9C%A8%E6%B9%96%E5%8C%97%E5%BC%80%E5%B9%95%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#2025世界数字教育大会在湖北开幕#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%232025%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%85%A8%E7%90%83%E8%81%9A%E7%84%A6%E6%B9%96%E5%8C%97%23&extparam=%232025%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%85%A8%E7%90%83%E8%81%9A%E7%84%A6%E6%B9%96%E5%8C%97%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#2025世界数字教育大会全球聚焦湖北#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%A4%A7%E5%92%96%E4%BA%91%E9%9B%86%E6%B9%96%E5%8C%97%23&extparam=%23%E4%B8%96%E7%95%8C%E6%95%B0%E5%AD%97%E6%95%99%E8%82%B2%E5%A4%A7%E4%BC%9A%E5%A4%A7%E5%92%96%E4%BA%91%E9%9B%86%E6%B9%96%E5%8C%97%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#世界数字教育大会大咖云集湖北#</span></a>2025世界数字教育大会于5月14日至16日在湖北武汉举办。来自全球数十个国家和地区的教育部门负责人、国际组织负责人、国内外大中小学校校长和师生代表、数字技术企业代表以及专家学者等齐聚！这些与 ...<a href=""/status/5166238411000054"">全文</a>",0,1,2
Thu Mar 20 15:00:37 +0800 2025,"今日春分<br />昼夜均，寒暑平<br />凛冬渐去，春和景明<br />初春的江大，是颜色的海洋<br />花木蓬勃万物复苏<br />还不邀上三五好友<br />踏春赏花去<br />🌸🌷🌻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FMAyk-2-5mFCTUa4_6XypsA"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">爱了爱了！</span></a> ",0,2,21
Wed Feb 26 14:47:29 +0800 2025,"2024年下半年<br />全国大学英语四、六级考试（CET）<br />成绩查询服务<br />已于今天上午6时开通<br />JHUer<br />速查<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FL9nQU2U0CLJ4re4Chorpxg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">出分！速查！</span></a> ",0,0,1
Tue Feb 25 15:15:00 +0800 2025,"结束了欢乐的假期<br />和江大的初春撞个满怀～<br />祝所有JHUer在新学期<br />充实且快乐😁<br />所愿皆所得❤️<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FZKnLYHiZh68ifnQafQ9hsw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,3,9
Tue Feb 11 18:01:57 +0800 2025,"树<br />是天空的脉络<br />是时间的备忘录<br />会拥抱每一个抬头看的人<br /><br />立春已过，雨水将至<br />江大的树<br />正在参加一场冬春交际的盛宴<br />积蓄能量，等待时间<br />会在盛夏慷慨地赠与其所见<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FJE59WVNhixfbgcRD6XXOXQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,1,6
Fri Jan 31 20:18:37 +0800 2025,"“这是最难忘的一个除夕！”<br />2025年<br />乙巳蛇年春晚<br />武汉向全世界展示了其独有的城市之姿<br />江汉大学45名学生受邀参演<br />为江城武汉点赞🫶<br />也为江大学子点赞👏<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FPNTZp-3oWWAz9aCSiriWCw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,1,4
