用户名,用户ID,评论内容,点赞数,回复数
羊头人,5477221,我当时没懂，他为什么不能直接把项圈拿下来呢？,29143,405
PuYuMazzz,1940260985,前面笑得我岔气，后面小萌那里突然给我尬的不会说话了,168,2
超胖甜甜圈子,3494376133102043,马哥怎么改了四次这期视频,57,12
黑白灰灰灰,352156401,死去的记忆攻击了我的大脑：,1239,3
Youtuber绊爱,677999787,哇，还有sm艾斯爱慕[喜欢],16,0
慈-兑泽,1807688601,bro们不要再问了，换封面的原因在这儿呢,1125,11
小潮院长,5970160,点赞10个封面换成这个,5238,144
宇宙无敌超级大帅p,3493121044253142,疑似是高斯对当年的报复,1961,9
好想出去看火山,81127268,已换了三次封面，以防有人不知道原封面,923,8
一典仙,40321496,12:35 原来小傲眼睛可以这么大,239,2
我是王英杰的弟弟,1189885066,观后感：,2168,19
乌釉漆马,567322575,第一个看得我心惊胆战的真怕有安全隐患啊[微笑]我就这一个马浩宁别给玩死了,3056,21
吃烤鸭的冷钰,346934227,以防有人不知道原封面[奥特曼收藏集经典系列_沉默],7848,26
somi_zZ,396022656,我坏我朋友就这样[doge_金箍],1717,3
大喵哇呀呀呀,87086052,点赞过70，拿这个当头像,9374,92
白鹤宝子呀,3494358668020540,海皇,3410,10
杜海皇,178029850,我不录了,11862,388
桉桉ANANN,2046120164,原来在这伏笔呢 高子没少研究上一期视频啊[doge],711,5
高斯Goh,3913194,兄弟们，你们觉得我做的对吗？,10099,183
我是唯一你是谁,374288988,观后感,1097,12
羊头人,5477221,我当时没懂，他为什么不能直接把项圈拿下来呢？,29143,405
PuYuMazzz,1940260985,前面笑得我岔气，后面小萌那里突然给我尬的不会说话了,168,2
超胖甜甜圈子,3494376133102043,马哥怎么改了四次这期视频,57,12
黑白灰灰灰,352156401,死去的记忆攻击了我的大脑：,1239,3
Youtuber绊爱,677999787,哇，还有sm艾斯爱慕[喜欢],16,0
慈-兑泽,1807688601,bro们不要再问了，换封面的原因在这儿呢,1125,11
小潮院长,5970160,点赞10个封面换成这个,5238,144
宇宙无敌超级大帅p,3493121044253142,疑似是高斯对当年的报复,1961,9
好想出去看火山,81127268,已换了三次封面，以防有人不知道原封面,923,8
一典仙,40321496,12:35 原来小傲眼睛可以这么大,239,2
我是王英杰的弟弟,1189885066,观后感：,2168,19
乌釉漆马,567322575,第一个看得我心惊胆战的真怕有安全隐患啊[微笑]我就这一个马浩宁别给玩死了,3056,21
吃烤鸭的冷钰,346934227,以防有人不知道原封面[奥特曼收藏集经典系列_沉默],7848,26
somi_zZ,396022656,我坏我朋友就这样[doge_金箍],1717,3
大喵哇呀呀呀,87086052,点赞过70，拿这个当头像,9374,92
白鹤宝子呀,3494358668020540,海皇,3410,10
杜海皇,178029850,我不录了,11862,388
桉桉ANANN,2046120164,原来在这伏笔呢 高子没少研究上一期视频啊[doge],711,5
高斯Goh,3913194,兄弟们，你们觉得我做的对吗？,10099,183
我是唯一你是谁,374288988,观后感,1097,12
羊头人,5477221,我当时没懂，他为什么不能直接把项圈拿下来呢？,29143,405
