用户名,回复内容,回复时间
与帕奎奥,武汉有两个全国排名前十的医院 协和与同济 除了武汉，同时拥有两所Top10医院的只有北京和上海。两家TOP10医院只相距一个路口，直线距离几百米，也是全国罕见。同济医学院的地位，很大程度来自裘法祖和他的高徒吴孟超，裘法祖在当代医学界是类似祖师爷的存在。人生经历也很传奇，3-40年代能迎娶德国白富美，拿捏纳粹，上海滩做手术只收金条，等等……各个时代都能混的风生水起。感兴趣可以自行百度。虽然相距几百米，但是属于两个区，同济属于硚口，协和属于江汉区。解放大道两侧遍布各种商场，武汉国际广场也是全国Top的存在，但是营业额和对面的协和医院相比就是个渣渣。已修改，多谢指出，不是江岸区是江汉区。,2023-08-11 17:42:15
老非,1，武汉妹子瞪我：莫跟我“醒倒媚”，是个啥意思？真心听不懂，我是继续聊呢，还是撤？硬着头皮又聊了两句，妹子说：你个老圪渍！这下彻底晕菜——听口气明显不像在夸我，但到底啥意思？武汉方言，我知道一个“不服周”。这个有历史典故，出自《左传》，算是很精彩的一句方言了。还知道“麻木”，就是三轮车吧？拐子，就是“哥哥”的意思吧？信了你的邪，是“信了你才怪”的意思吧？可是，你要是跟我满天飞武汉话，我就彻底听不懂了。武汉的老少爷们，你们看看下图的这些天书，都是啥意思？另外，武汉人都看得懂吗？还是只有老武汉才都明白？2，其实我是湖北人，但老家挨着河南，离武汉有点远。我来北京读大学，张口说话大家全猜我是河南人，包括来自河南漯河的同学。中国你是知道的，越靠近南方，隔一道山或一条河，方言或许就有所不同。所以武汉话我能听懂一些，但真正跑起了方言，我是真听不懂。初中毕业时，我才第一次去武汉玩了几天。所以武汉长江大桥，是我当时见到的最大的桥，我还兴奋地在上面走了个来回。那时候武汉的江面上，也只有这一道桥，一边是龟山，一边是蛇山。后来有了二桥，再后来……再去武汉我姐家，过江的时候，目测有一堆桥。我姐说，武汉还有好几条过江隧道，以及在建的桥与隧道。就感叹“基建狂魔”名不虚传，到处刷存在感、既视感、成就感。武汉长江大桥3，说到武汉长江大桥，大家都知道，它是毛泽东诗词中“一桥飞架南北，天堑变通途”的主角。岁数大一点的武汉人，还知道1966年7月16日，72岁的毛泽东在武汉畅游长江，历时1小时零5分钟。但去了武汉我才知道，在汉口江滩公园，还有一个横渡长江博物馆。博物馆内有照片及实物史料，再现了毛泽东多次横渡长江的历史，同时也展示了武汉人悠久的渡江习俗与文化。而在汉口的滨江公园，有一座防汛纪念碑，临江而立，总高37米，碑心石上刻有毛泽东的亲笔题词：“庆祝武汉人民战胜了一九五四年的洪水，还要准备战胜今后可能发生的同样严重的洪水。”武汉防汛纪念碑4，通读《三国演义》的人，如果到了河南、湖北，会撞见一堆了然于心的地名。大一点的地名，比如河南的许昌、洛阳，比如湖北的襄阳、荆州。小一点的地名，比如新野、当阳、隆中……而通读过金庸《射雕英雄传》的人，必然会知道襄阳。毕竟书中的郭靖郭大侠，在此镇守并殉国。而郭靖得以有学武的启蒙团队，也就是江南七怪，起源于七位师父跟长春子丘处机打了一个赌。郭靖是虚构的人物，但丘处机却是从历史中被框入了金庸的武侠小说。老非生活在北京，知道丘处机的墓，就在北京的白云观。而主持修建白云观的人，你怕是想不到。就是丘处机的弟子尹志平！对，就是《神雕侠侣》中啪啪了小龙女的那个尹志平。去了武汉我才知道，武汉有一座长春观，就是由长春子丘处机所创建。武汉长春观始建于元朝，供奉有丘处机，算是他留在人间的道场了。它也是武汉最古老的道观。武汉长春观5，你可能背诵过崔颢的《黄鹤楼》、周泗的《黄鹤楼》、以及李白的《黄鹤楼送孟浩然之广陵》……尤其周泗那句“吾蜀青莲曾搁笔，今朝黄口敢言诗”的自信，让人印象深刻。虽然黄鹤楼贵为“江南三大名楼”之一，始建于三国吴黄武二年（公元223年），但现在你看到的黄鹤楼，是1985年用钢筋混凝土重建的。虽然它以清代的“同治楼”为原型进行的设计重建，但作为一个建筑师，老非我登上一次之后，从此再无兴趣。我还是更喜欢山西的应县木塔。6，我在湖北老家高考，当年的分数是可以上武汉大学的。但我觉得武汉对我来说没有出省，没有挣脱父母的“可管辖范围”，就死活不愿意到武汉读大学。所以就到了北京。话说那时候我也不知道武大的樱花，会成为网红景观啊。再说了，读书归读书，樱花看看就好，又不能当饭吃。武大樱花我一直知道武汉高校多，但我一直都不知道它在这方面的准确排名——截至2021年，武汉有高校83所，其中本科高校46所，数量居全国第二，仅次于北京；在校研究生和大学生的数量，居全国城市第三。但有一个排名，作为湖北人我是知道的——武汉市淡水资源丰富，水域面积是全国大城市的第一名。要不我们湖北人为什么爱吃各种淡水鱼呢，有那个资源啊！也包括现在的小龙虾。而查阅资料后，我发现了一个更惊人的数据——武汉人均水资源占有量约为全国平均水平的40倍，约为全球人均水平的10倍。7，去了武汉我才知道，武汉人吃早饭，叫“过早”。武汉绝对是名副其实的“美食之城”。在我看来，武汉的莲藕排骨、酸辣藕带、腊肉菜薹，是最好吃的。且不接受反驳，除非你还要补上武汉鸭脖。反正我从武汉回北京，无论坐飞机还是高铁，行李箱里都会塞上几把洪山菜薹。武汉紫菜薹8，早年间去武汉，我会赞同那句话——“武汉是中国最大的农村”。在当时，这句话的贬意一目了然，那就是武汉当时的城市规划一般，市容市貌一般，城市热岛效应使武汉成为闻名全国的火炉子，且市民的时尚感、现代感不足等等。后来我才发现，其实这句话是褒贬俱存的。褒义的方面——武汉是一个从未丢失过市井味道的城市，武汉人始终带有自我感觉良好的市井气息，这让整座城市始终保有非常接地气的人间烟火气。这一点，与之最接近的城市，我认为是重庆。毕竟都是江城，都热，也都能吃辣。9，在历史上，武汉曾有过一个极好听的名字——“却月城”。武汉建制始于西汉；东汉末年，荆州牧刘表派黄祖为江夏太守，将郡治设于龟山的“却月城”中。“却月城”一度成为武汉的别称。只不过演变到今天，实在太久远，少有人知罢了。有哪些旅行目的地，特别适合职场人体验下「摆烂的生活」？,2023-03-04 22:15:42
伊塞克,一 武汉有世界上最大的购物中心:武商梦时代，里面有市内滑雪场，好恐怖的大，号称三天三夜逛不完。二 武汉可能是我去过想吃饱消费成本最低的城市，五块钱的热干面，两块钱的蛋酒就能撑到。五块钱的豆皮可以当中午饭吃完全不会饿，你反而要担心长肉。小笼包、煎包五块钱6个，用料很足质量很高，这特么在大城市都绝迹了。不过，对于吃饭自由的人群来说，这不是好事，武汉是碳水大城，以我这么多年健身的经验，稍微过量的碳水已经是变丑和长胖的元凶。而显然大部分武汉人不是稍微过量，他们早餐就吃够了我一天的碳水。三 东湖，在我的眼中是完全不输杭州西湖的存在，特别特别大，湖中道特别特别多，景美，人少，说实话我是觉得游玩体验是比西湖强很多的，但是我父亲不同意，他能看出来西湖岸边池杉、柳树、花草长得不同，我对这种细节一向没有感觉。四 长江，武汉的长江是我见过最好玩的，两岸超级大的沿江公园，秒杀一切海边木栈道，湖边公园。沿江道也非常有逛头，百年建筑随处可见。1.5就可以坐船渡江，满足你的新奇体验。五 汉正街，想买什么直接来这里，会逛的话直接买的比淘宝价还低。这边的购物中心太可怕了，买鞋，直接有两栋四层的商场专门卖鞋，你网上买不到的老爹鞋，皮鞋，这里面全得很（我在银河鞋城有看中的，嫌贵，想回去网上买，结果全网都搜不到类似款）。买衣服，那更可怕，一条街一直通到长江，两侧服装类商场没细数，大的小的商场二十几个是有的。布料、箱包、家纺、人家都是一栋几层的的建筑专门卖一种东西。六 江汉路、光谷广场、楚河天街，号称是最好逛的几个商圈。但是大商圈嘛，买好东西都不实惠。光谷广场卖的都是地摊货居多，卖的比较便宜。江汉路和楚河天街比要好一些，吃的玩的相对亲民，质量也可以。江汉路有非常大的知名品牌连锁店，比如唐狮，美特斯邦威，耐克阿迪，什么的，都是独占两三四层楼，东西很全，打折的旧款很多，淘淘宝很不错。七 美食街，唉又是大，怪不得号称大武汉，什么都大，我去了粮道街，一条超长的十字街，全部都是吃的，全部都在排队，一家铁板鱿鱼门口眼看着排着四五十号人，那阵势让我想起了这两年做的核酸（呸呸呸，不提了）。八 大学，武汉号称全世界在校大学生最多的城市，节假日，地铁站台都给你挤满，一水的小年轻。九 黄鹤楼，本身是没什么可逛的，但黄鹤楼下边有一条服装折扣街，可能是最适合年轻人买衣服的地方，这里不同于汉正街的地方在于这边都是品牌服装，汉正街多是那种杭州货，广东货，地摊货那种不适合年轻人的款式。说回黄鹤楼下面这条街，国产品牌折扣店非常多，折扣力度非常大，我去过三次，有一次赶上了始祖鸟、Prada、还有一些意大利高档货在那里清货，只有裤子，我的天49，59一条裤子，质感无敌，看起来是用正品面料和一些高仿的配件掺着做的国产外贸货，总之东西是200块一条我都会大量买那种。总之那附近基本都是五折以下的折扣，但款式肯定不全，买东西会买的话很划算。十 昙华林，特色小镇，上面说的粮道街附近，很好玩儿的特色小镇，建筑有种小清新的感觉，比较大，有对象的去那里走走坐坐拍拍照喝喝下午茶，应该是不二之选。十一 江汉路以北，叫大成路好像，这个区间范围内，特色建筑很多，拍照打卡地和美食街遍地都是，总之有对象的去这些地方应该都比较好玩儿。十二 古琴台，汉阳造，龟山，晴川阁，这些够我一天户外的量了，天气晴朗的的话，不去东湖就来这里，在这里还教你们一个知识，汉阳之所以叫汉阳，是因为它在龟山以南汉水以北，古者，山南水北是为阳，汉阳以此得名。此外汉阳造也是个拍照绝好的去处。十三 武大的樱花，盛名在外，我去了珞珈门，没让进，有点遗憾。不过市内随处可见樱花，在紫阳公园樱花刚开的时候我去看了一下，很漂亮。宝通寺、归元寺这种盛名在外寺庙我都路过了，但没进去，要门票，穷。（哈哈哈开个玩笑，不喜欢花钱逛庙，我又不信就是看个稀奇）。十四 武汉的二次元文化，我不懂哈，不过逛街遇到好多次，脸部妆容和发型有那种很精致的感觉，刚见到感觉很稀奇。这次基本说全了，我去过的都说了一遍。还有什么该去的地方，评论区帮我补充哈，我下次来武汉再去。根据评论补充一下:一 大智路和大成路搞混了，记忆这个东西还是不靠谱，感谢评论区提醒。二 我去了东湖两次，人是真不多，自行车可以撒丫子骑，但看评论区的说法，应该是没到旺季。三 武商梦时代，是很有个性的商场，里面有非常多潮趣酷玩的店铺，有那种看着很前沿的T台，感受到武汉的发展潜力，这种商场应该不会被冷落。四 关于吃碳水这件事，应该是历史遗留问题，便宜还能吃饱有力气，这是过去的追求。但是这种吃法不健康的，早晨想吃点维生素都没地儿去，慢慢的这种文化会被年轻人淘汰掉我觉得。五 黄鹤楼下面卖衣服的，下了黄鹤楼下面的天桥，穿过大量卖珠宝的店就是了。好东西得靠淘的，也不全是好的，得看运气。六 最后一条还是留给吃的，我去美食街从来都是图热闹，从来都不怎么吃东西，原因有二，一是排队二是卫生，这两点大部分美食街都没法提供好的服务。我认为武汉最好吃的是什么呢？其实是自选快餐，这种方式非常好，人是杂食性动物，一餐吃的菜种类越多，相对来说营养搭配多样化就越不容易偏食，武汉到处都是这种自选快餐，三十块差不多能吃到二十个菜（我是大胃王哈哈），可太幸福了。就是有一次送了我一瓶那个黄鹤楼啤酒，可太劣质了，这个大家避个坑，我喝完嗓子干了两天，哈哈，本来送的东西不该喷的，但真的很劣质啊坑人。分割线～～～～～～真没想到我这一篇穷游的文章成了我自己热度最高的回答，看来我的确是男人里面最能逛街的（我常常如此自诩）。武汉给我的总体印象，一曰大，以前去重庆感觉好大，等到了武汉我天巨大（哈哈，刚查了一下武汉没有重庆大）。二曰江湖市井气，这是一个从过早开始就热热闹闹的城市，门口一排塑料凳就是一个个单人桌。晚上随便去各大夜市去转转，你会感觉这特么像是在开灯会，我本来以为自己是不喜欢太过热闹的，但真的身临其境的话，你会觉得这就是人间烟火气啊，再看看杭州上海这种摩登一些的城市，顿觉其索然无味。三曰宝藏多，一个大东湖，自然风光旖旎就够我玩儿上一年的。一个武商梦时代，把潮趣酷玩一网打尽。一条汉正街，买啥要啥有啥。黄鹤楼晴川阁隔江相望，说不尽的诗情画意。江北，民国建筑交相辉映，融合在老武汉的市井之间，不突兀又显得新奇。既然提到重庆了，那顺便也说一下这个和武汉体量相当，某些方面犹有过之的城市，提到重庆首当其冲就是美食，我承认我刚去重庆那会儿，每天就是在火锅店和厕所里度过的，吃的最地道的是江北一家城门洞子老火锅，那会儿刚毕业，初生牛犊不怕虎，就要尝尝九宫格最辣的，店主一听我的外地口音就要劝我，可是我听劝嘛，不听呀。大冬天，咕嘟咕嘟的火锅，我还记得当时是15年，店主说满100元免锅底，于是我自己就点了100块钱的菜，十几二十盘菜，那是如今想都不敢想的实惠，我记得最好吃的卤毛肚好像是6块钱一份，我足足吃了三大份，说回正题，两口菜下肚，辣反上来，嘴里就开始冒火，舌头失去知觉，再两口下去，好家伙，汗毛竖起，胳膊发麻，我至今搞不清楚吃辣为什么会胳膊发麻，是大脑提醒我不要作死嘛？总之当时就那么真实的发生了。我被迫开始认怂，捞起来放香油碟里去热，然后再放米饭里打滚吸走汤水再往嘴里放，就这，我坚持吃光了大半，吃的眼睛通红，也从此爱上了重庆火锅，是重庆的，四川火锅不行的。然后，我第二天早晨上厕所的时候，我自以为感受到了肛裂患者的痛苦，按下不提了。后来，吃到了耙牛肉，吃到了老麻抄手，吃到了鸡汤铺盖面，吃到了豌杂面，还有最不起眼的素面也是难得的美味。重庆的美食，鲜、麻、辣三样总有一样给你做到极致，真特么刺激，我的肠胃也是从这个时候开始变差的，还是不能过分追求刺激。说真的，除了吃的，重庆别的方面还真的没有给到我惊艳的感受，重庆及周边地区，总得来说，人员构成还是富裕程度不高的，当然还有一点不得不提，就是重庆妹子绝对直率，太莽了，吃饭的时候直接过来和你搭话，地铁上面直接问你耍不耍朋友，我天，我这种中人之姿都有这样的待遇，也不知道真帅哥入渝还走不走的出来。那既然提到重庆了，那就再说说四川？整个四川，我去过的城市不多，都是在成都，资阳，自贡，内江，南充这一带，我最喜欢南充阆中，牛杂羊杂这辈子我感觉吃不够，阆中人好像是川人里面的另类，并不怎么吃辣，牛羊杂搞熟之后，清油汤打底，加不加面你随意，那种好吃那种纯粹是最为自然和原始的，说真的，西宁这种的真以吃牛羊肉为主大城我也去过，我觉得比不上阆中，提西宁就提一嘴炕锅牛肉，不错的，手把羊肉没什么吃的。阆中古城也很有逛头，进古城要路过一个门洞，穿过一江水，有点世外桃源的意思。不少川人美术生在那里写生，本身也构成一道风景。另外虽然盛名在外，但阆中张飞牛肉没什么吃的，保宁醋也就那样不就是陈醋嘛，吃东西还是要吃新鲜的。此外，内江牛肉面不得不提，必须吃蔡氏的，把海椒给你炸的又脆又带着糊味，一碗下去，浓香四溢，我之所以提重庆的时候没有提牛肉面，就是因为内江牛肉面压着它一头，内江的面很独特同样是碱面，但味道绝对不同，配合一流汤底，自成一派，说是这个面是张大千首创的。成都在我看来没那么多美食，有几样有数的，麻婆豆腐当居榜首，相信我，不去成都，你们当地的麻婆豆腐麻辣豆腐做的再好吃，那也绝对没有成都苍蝇馆子的十分之一，这个不是盛誉，这豆腐真比肉好吃不带夸张的。除此之外，再让我选。就只有豆汤饭，我对这种肠胃友好，营养均衡又鲜香美味的汤饭很是情有独钟。再让我选，没了。火锅被重庆秒成渣渣，龙抄手遇上老麻抄手，担担面遇上重庆小面，都没什么可比的。提到川菜，风头都被盐帮菜抢了去，再加上成都外来户严重的多，餐饮水平参差不齐。我是真心不建议去成都找美食，味同嚼蜡的感受我在成都体会过不止一次，吃坏了上吐下泻的时候也有。刚才提到盐帮菜，川蜀地区，看到人流多的，招牌写着盐帮菜的馆子，务必去尝尝鲜，每道菜的水准即便不能让你经验，也在水准之上，很有特色。我常吃的酒味鱼香肉丝，干锅牛肉茶树菇，血皮菜炒猪肝，这种东西你在别处是吃不到的。川蜀地区还有吃黄鳝的，吃兔子的，吃鱼腥草的，这些我是真难以下咽，那次在资中吃的兔子面，一口下去直接吐了，要知道这是资中首屈一指的小吃。还有最最邪恶的头刀菜，我吃过了朋友才告诉我是什么东西做的，还好不难吃没有心理阴影。,2023-03-10 17:54:15
望安,武汉最温柔的地方往往藏匿的比较深来了之后永远处在要走或要留的矛盾之中，可是在外地回来的时候，又总是满满的安全感鹦鹉洲大桥桥头很适合思考人生武汉樱花很多，石楠花也很多，盛放的时候不一样，给人的感觉也……不一样武汉的桥很多，但是最耐看的最能让人产生情结的还是武汉长江大桥武汉东湖很大，景色不逊于西湖，这个在知乎被讨论过，个人觉得值得一去武汉轨道交通很发达，武汉的地铁都很漂亮，最新的八号线很多站点都很美很容易把人正常交流当成是吵架，其实没有高英老师说，在武汉你千万不要说:你给劳资等道武汉秋天只有两周汉阳树藏的有点深，是能找到秋天的地方武汉的轮渡很便宜知音号很值得一去秋天建议找个有阳光的日子，去汉口那一块，去黎黄陂路，各种小巷子，江边芦苇滩在武汉旅游好像不怎么需要花钱，收费的不多，除了黄鹤楼，即便收费也不会很贵，比如古德寺，龟山等，不超过十块吧武汉公交换乘是免费的武汉的姑娘伢儿都蛮漂亮，性格也很好,2018-09-24 21:57:35
匿名用户,"1,过早是吃早饭，幞（fú）子是毛巾 2,最出名的黄鹤楼户部巷反而不怎么好玩儿。3，美食都藏在大学后街里。4,公交车上最常听到的是请控制车速。5，一个小时以内的路程都算是附近。6,学校的饭是最便宜的。7，有些地方电影票比我们那个小县城电影票还便宜（我们那个县级市最便宜一张三十八左右，在武汉享受到13.8一场的电影 ）？？？附送我们学校的美食一张~",2018-09-26 14:59:41
左手舞剑,1、一个省供一个城市，因此武汉也被调侃为捂着吸。2、武汉有三镇，分武昌 汉阳 汉口。3、武汉各种各样的人才都很多竞争压力大，武汉的钱不好挣。4、武汉没有一个绝对的中心，准确地来说武汉是个多中心的城市，每个地区都有各自的中心。5、武汉把吃早餐叫做过早。6、“楚河汉界“不仅仅在棋盘上！还有在步行街上！！7、武汉人特别喜欢吃面。8、东湖绿道100公里，三天都走不完。9、东湖和东西湖是异地恋。10、武汉有82所高校，所以年轻人非常多。11、黄鹤楼是武汉的名片，不过现在的黄鹤楼挪过位置了，是新建的。12、汉阳火车站，公交地铁都到，就是火车不到。13、武汉有11座长江大桥。14、武汉长江大桥可以走过去 ，耗时大约40分钟左右。15、有传闻徒步武汉长江大桥的情侣会分手。16、乘坐长江轮渡只要一块三毛。17、武汉美食特别多，各种小吃，早餐根本不用担心吃什么。18、武汉热干面对于外地人真的吃不惯。19、武汉的工资并不高，过万的很少，同时武汉的房价很高。20、武汉旅游景点并不多，知名景点较少。21、武汉人喜欢吃热干面，主打一个“干”，一点汤都没有，外地人根本咽不下，必须加点开水才能吃下去，河南的改良版热干面就丝滑得多。22、武汉的小龙虾很有名气，吃起来却不敢恭维，还不如江苏的虾尾方便实惠。23、武汉很大，出行首选不是公交，也不是自驾车，而是地铁和共享单车，两者结合，出行无忧。24、武汉的地铁，公交、出租车，商场的空调开的永远都是很足。25、武汉人在街上很少有人穿皮鞋的，基本都是运动鞋，以国产一线品牌为主。26、武汉女孩颜值高，一个个的明眸皓齿，小巧玲珑，但身材不太高，基本在1.6以下。27、武汉人特别喜欢买房，三口之家的家庭平均拥有两套房，并且房价涨跌都不卖。28、武汉虽然有长江流过，但夏天很热，以火炉城市闻名，尤其一个“汉”字，让人觉得夏天指定是“汗”流浃背。29、武汉人都认为武汉是国内最宜居城市。,2023-08-20 16:59:41
爆爆大魔王,1、武汉人基本不去黄鹤楼、古德寺玩。2、武汉的炸酱面感觉是武汉热干面的加强版，跟北方热干面完全不是一个概念。3、武汉真的好大。武汉的三环相当于北京的五环。4、武汉的江汉路步行街真的不是武汉人的购物天堂，里面全是山寨品牌。5、武汉横跨长江两岸的桥一共有11座，军山大桥、沌口长江大桥、白沙洲大桥、杨泗港长江大桥、鹦鹉洲长江大桥、武汉长江大桥、武汉长江二桥、二七长江大桥、天兴洲长江大桥、青山大桥、阳逻大桥。6、汉口的伢儿和武昌的伢儿谈恋爱叫异地恋。7、来了武汉，请你下馆子的不一定是真朋友，但请你过早的一定是真朋友。8、武汉有很多的大学，985/211就有7所，大学生更是多，差不多120万。9、武汉的小吃很多：热干面、牛肉粉、豆皮、面窝、烧煤、汤包、烧烤、周黑鸭。10、东湖真的很大，能逛上一天。11、户部巷不好吃还贵，属于每个城市专有的专门坑外地人的街道。12、武汉就像是长江分开的南京和上海，都有梧桐树，一个有宋庆龄故居，一个有美龄宫，然后也是夜夜笙歌啤酒龙虾。13、其实黄鹤楼还是值得看看的，就是不要抱有太大期待的时候，感受就还不错，夜景也可以。不过要做好功课，主要是看人文。14、三四月份是武汉最美最舒适的时候，全城随处有樱花桃花梅花，郊区还有油菜花，也有梨花白玉兰等其它花，随便一条马路一座公园都会给你一个惊喜。15、武汉是全国大学生最饱和的地方，所以在武汉工作并不好找，工资也不是很高。16、长江大桥比想象中的长太多，要走好长时间。当你在车上看到步行在长江大桥上的游客时，他们并没有你想象中的那么轻松。17、武汉真正的美食之区在青山区，青山是个老城区，很多店都是开了几十年的老店，味道特别棒，还便宜。18、去了武汉，感觉没有市中心，感觉哪里都是一样的。每个区差不多都是各玩各的。19、武汉虽然大，但是不集中，玩个地方要开好久的车才到，很浪费时间。20、不晕车的人在武汉坐出租车都会把你弄吐。21、大部分武汉人只对自己生活的片区比较熟一点，稍远一点或者跨区都要地图导航。22、没结婚的情侣，千万别去归元寺。23、武汉人一日三餐都可以吃热干面。24、汉口学院不在汉口而是在江夏，东湖学院不在东湖在江夏。25、如果用一个词来形容武汉，那就是“江湖”。,2023-02-04 22:08:40
高山昙,大武汉大武汉只有去了武汉才知道这个大字绝对不是白叫的,2023-08-20 07:37:56
啊啊啊啊啊嚏,七年前到武汉来上学。到了这里才知道原来5个小时的火车时长，改成动车以后可以两小时不到。原来一个大学可以这么大（理工学生一枚，我们学校有5个校区，另一个隔着老远，也没机会去上课）。原来路可以这么远这么堵（我从武汉站坐高铁到了广州，送我的同学坐公汽还没到学校，那个时候还没地铁到学校附近）。原来一个城市的桥可以这么多（一桥二桥鹦鹉洲大桥等等）。原来大学男女比例这么悬殊（女生全是宝贝）。原来一个老师的负面作为可以让一个优秀的学生丢掉原本充满活力的生命（好吧，有丢丢伤感了）。很多东西以前我并不知道，但这七年来我已经习以为常了，已经可以一脸平淡的面对别人所发现的惊讶。我会继续留在武汉，看它继续发生变化，,2018-09-26 14:27:14
土生奥特曼,武汉人特有的城乡鄙视链。武汉人爱讲规矩，整出很多奇怪的鄙视链。所以在武汉的正宗性上，是毫不含糊的。当然，如果理解武汉人的话，这看似森严的鄙视链并没有谁拿它真当回事，只不过是酒桌上扯淡的谈资。鄙视链如下：顶端：汉口人。汉口开埠最早，见得世面也最大，早年汉口江滩是与大上海十里洋场齐名的花花世界。自然就瞧不起湖北省会武昌，更不用说普通城市汉阳了。汉口人又有自己的鄙视链。汉口鄙视链的三层，老租界为粉色，汉正街为砖红，城外为黄。最洋气的汉口人就是老铁路（今天的京汉大道）到长江边的老租界区，这是的老居民是城里人中的城里人，白相人中的战斗机。这个区域包括江汉路步行街，武汉关大钟楼，武汉市政府，民众乐园等等，一说大家都知道了。老租界内的民众乐园，是解放前与上海大世界天津劝业场齐名的三大乐园。汉口鄙视链第二层，是今天的硚口区，也就是大名鼎鼎的汉正街。硚口区基本就是汉正街，汉正街也就是硚口区。这里是租界外做生意的地方，码头林立，富商云集，虽然洋气沾得不多，但是架不住有钱，所以这里的居民就是汉口的色目人，有鄙视除租界以外所有武汉人的资本。鄙视链第三层是京汉大道以北到后湖之间的武汉城区，有点类似北京的南城，全是小买卖庄稼汉的天下，虽然是在汉口鄙视链的最底端，但是离天堂太远，离繁华很近，这个区域又有当年亚洲最大的马场，也是见过世面的人，所以有鄙视汉口以外武汉居民的资本。汉口马场鄙视链第二级是武昌。武昌是非常繁华的所在，辛亥革命的暴发地。虽然没有汉口洋气，怎么说也是几百年的大城了，论历史，作为府城的时候汉口还是村。武昌也是有鄙视链的。老武昌城是武昌鄙视链的顶端。也就是现在紫阳路司门口这一大块一直到阅马场。包括武昌老城的范围，是湖北省曾经的首善之民。这个区域包括了清代湖北的最高权力机关，和民国一段时间全国的最高权力机关。城里的居民没见过洋人，但世态炎凉也见得不少。武昌鄙视链的第一层与第二层第二层如图，属于武昌城外郭的范围。以前主要是底层群众的居所，包括解放后大片的河南棚子，不过这个怎么说也是大东门以内的城里人，出了大东门才算出城。鄙视链第三层是二环线内的武昌，包括武昌区、洪山区、东湖高新和青山区的大部。以前这里是菜地荒坟，建国后才慢慢开发，省委省政府主要机关和大学都散落在这个区域，还有整个武钢。本来放在太低的位置似乎不好。不过，这些干部知识分子产业工人基本上都来自乡下，南腔北调的，所以在鄙视链里，给他们这个层级已经不错了。值得一提的是，武钢所在的青山区，在效益好的时候，曾经是在武昌鄙视链的顶端，经常称水果湖为乡下。如今显然不是这样了。鄙视链的第三级是汉阳。汉阳人俗称贱三爷，但并无鄙视之意，只是来自历史传说。本来汉阳放在民国，并不输大多省会，但是无奈夹在一和直辖市和一个省会之中，在鄙视链中的地位不高。第四级是除了以上区域外的其他武汉居民。他们有个共同的统称——乡里人。当然，这真的是武汉人一本正经胡说八道鼓捣出来的东西，不可能有任何一个武汉人真拿它当事，谁认真谁输。真实情况是，老居民不断外迁，在汉口的老居民已经很少了。车站路一带，一水的孝感乃至恩施口音。巷子里的武汉人，也只有在我们夸白的时候，才能有那么一点点的记忆。,2019-01-19 22:32:46
