电影名称,上映时间,综合票房,上座率,场均人次,票房占比,排片场次,排片占比
疯狂动物城2,上映7天,20.60亿,1.9%,2.7,89.4%,305084,76.8%
鬼灭之刃：无限城篇 第一章 猗窝座再袭,上映19天,6.30亿,1.3%,1.3,3.6%,28328,7.1%
狂野时代,上映11天,1.80亿,2.0%,1.8,2.2%,14612,3.6%
惊天魔盗团3,上映19天,2.66亿,0.7%,0.7,1.3%,19597,4.9%
菜肉馄饨,上映18天,2353.6万,5.7%,5.4,0.5%,1093,0.2%
边海,,126.9万,77.7%,85.2,0.2%,46,<0.1%
铁血战士：杀戮之地,上映26天,1.07亿,0.6%,0.6,0.2%,4203,1.0%
隐者山河,上映8天,118.9万,4.1%,3.8,0.2%,524,0.1%
开心岭,上映12天,290.1万,0.2%,0.3,0.1%,7694,1.9%
我的世界没有我,上映6天,1016.1万,1.5%,1.4,0.1%,1426,0.3%
浪浪人生,上映64天,4.55亿,1.2%,0.9,0.1%,2172,0.5%
山河为证,,3993.6万,66.4%,116.0,0.1%,11,<0.1%
震耳欲聋,上映60天,2.56亿,13.7%,11.6,0.1%,135,<0.1%
志愿军：浴血和平,上映64天,6.39亿,2.7%,2.5,0.1%,527,0.1%
浴血困牛山,,236.2万,54.6%,62.0,0.1%,23,<0.1%
英雄三元里,上映5天,65.0万,12.1%,9.8,0.1%,141,<0.1%
好好说再见,,482.3万,50.5%,42.8,0.1%,21,<0.1%
火种,上映48天,90.7万,62.0%,84.6,<0.1%,7,<0.1%
青爱,上映5天,145.2万,7.0%,6.2,<0.1%,180,<0.1%
深深眷恋,上映30天,130.7万,56.8%,63.9,<0.1%,11,<0.1%
窗外是蓝星,上映89天,5823.8万,6.9%,6.6,<0.1%,121,<0.1%
三滴血,上映18天,2124.4万,0.4%,0.4,<0.1%,1296,0.3%
野果之歌,上映首日,3.8万,0.1%,0.1,<0.1%,3125,0.7%
日掛中天,上映26天,2276.5万,0.8%,0.6,<0.1%,441,0.1%
寻砖,上映19天,41.2万,13.4%,13.7,<0.1%,21,<0.1%
李子洲,上映11天,126.1万,11.1%,8.6,<0.1%,32,<0.1%
即兴谋杀,上映33天,7620.8万,0.3%,0.3,<0.1%,1032,0.2%
731,上映76天,19.42亿,0.6%,0.6,<0.1%,462,0.1%
圆梦餐厅,,14.9万,100.0%,79.7,<0.1%,3,<0.1%
顺流而上,上映15天,183.0万,0.5%,0.6,<0.1%,362,<0.1%
小林家的龙丫头：怕寂寞的龙,上映26天,1341.9万,0.8%,0.7,<0.1%,293,<0.1%
死钻倒影,上映5天,15.2万,0.6%,0.7,<0.1%,253,<0.1%
莫奈的睡莲：水波与光影的魔力,上映12天,31.5万,1.9%,1.6,<0.1%,89,<0.1%
靠近我看见你,上映51天,305.2万,25.2%,33.3,<0.1%,4,<0.1%
荒村怪谈,点映,36.8万,0.1%,0.1,<0.1%,1226,0.3%
一战再战,上映47天,5413.4万,1.7%,1.3,<0.1%,70,<0.1%
团圆必胜,上映4天,5.8万,0.6%,0.6,<0.1%,170,<0.1%
血色黄梅,上映13天,1.8万,39.2%,56.5,<0.1%,2,<0.1%
陪你到清晨,上映40天,350.3万,2.8%,2.3,<0.1%,40,<0.1%
旁观者,上映32天,231.2万,1.1%,1.7,<0.1%,54,<0.1%
红嫁衣：纸新娘,上映33天,751.3万,0.1%,0.2,<0.1%,493,0.1%
F1：狂飙飞车,,4.49亿,3.8%,3.0,<0.1%,19,<0.1%
坏蛋联盟2,,2.27亿,0.7%,0.5,<0.1%,122,<0.1%
秋水伊人,上映5天,4.0万,8.5%,6.5,<0.1%,13,<0.1%
百年程派,上映15天,7.1万,3.3%,3.1,<0.1%,17,<0.1%
巴扎喜事,,150.5万,48.0%,48.0,<0.1%,1,<0.1%
不要错过你,上映26天,1634.9万,0.1%,0.1,<0.1%,336,<0.1%
女孩,上映32天,470.0万,2.3%,1.8,<0.1%,20,<0.1%
柔道龙虎榜,展映,500.1万,23.6%,27.0,<0.1%,1,<0.1%
刺杀小说家2,上映63天,3.88亿,0.4%,0.3,<0.1%,96,<0.1%
小丑爸爸,上映6天,2.0万,0.9%,0.8,<0.1%,53,<0.1%
汉斯·季默与朋友们：沙漠之钻音乐会,上映74天,342.0万,11.4%,9.0,<0.1%,3,<0.1%
死神来了：血脉诅咒,,2.02亿,0.9%,0.7,<0.1%,42,<0.1%
城南旧事,展映,4681,8.0%,11.5,<0.1%,2,<0.1%
永无止境,上映17天,37.1万,0.8%,0.7,<0.1%,44,<0.1%
孤岛幻想曲,上映12天,30.0万,0.0%,<0.1,<0.1%,237,<0.1%
神秘家书,上映15天,32.8万,2.0%,1.8,<0.1%,11,<0.1%
猪猪侠·一只老猪的逆袭,上映63天,5766.9万,0.1%,0.2,<0.1%,60,<0.1%
天鹰战士：最后的冲击,上映33天,4428.8万,0.8%,0.9,<0.1%,9,<0.1%
不该停止的追问,上映12天,28.3万,0.2%,0.2,<0.1%,50,<0.1%
百川东到海,上映15天,24.5万,0.3%,0.4,<0.1%,15,<0.1%
关于约会的一切,上映89天,431.4万,1.7%,1.3,<0.1%,3,<0.1%
巫咒,上映53天,247.0万,0.3%,0.3,<0.1%,13,<0.1%
隐秘的秦陵,,3.8万,0.1%,<0.1,<0.1%,28,<0.1%
红豆,上映18天,110.8万,0.3%,0.4,<0.1%,8,<0.1%
大别山久生,上映84天,18.8万,2.9%,3.0,<0.1%,1,<0.1%
浪浪山小妖怪,,17.19亿,0.0%,<0.1,<0.1%,30,<0.1%
开着我的房车去旅行,上映12天,1631,0.0%,0.1,<0.1%,8,<0.1%
这周五的游乐场,上映75天,20.9万,0.8%,1.0,<0.1%,1,<0.1%
午夜怪谈2,上映82天,211.7万,0.4%,0.3,<0.1%,4,<0.1%
走到尽头,上映25天,14.8万,1.2%,0.5,<0.1%,2,<0.1%
金刚不坏,点映,5146,2.6%,1.0,<0.1%,1,<0.1%
